miRNA,Target Gene
mmu-let-7c-1-3p,Duox1
mmu-let-7c-1-3p,Fbxl19
mmu-let-7c-1-3p,Arhgap11a
mmu-let-7c-1-3p,Med28
mmu-let-7c-1-3p,Sgms1
mmu-let-7c-1-3p,Acadsb
mmu-let-7c-1-3p,Tjp2
mmu-let-7c-1-3p,Ubap1
mmu-let-7c-1-3p,Tjp2
mmu-let-7c-1-3p,Ap1g1
mmu-let-7c-1-3p,Rasal3
mmu-let-7c-1-3p,Crnkl1
mmu-let-7c-2-3p,Cpd
mmu-let-7c-2-3p,Mphosph9
mmu-let-7c-2-3p,Ppp1r9a
mmu-let-7c-2-3p,Fat2
mmu-let-7c-2-3p,Myh1
mmu-let-7c-2-3p,Myh1
mmu-let-7c-2-3p,Ttc14
mmu-let-7c-2-3p,Myh1
mmu-let-7c-2-3p,Heatr1
mmu-let-7c-2-3p,2610002M06Rik
mmu-let-7c-2-3p,Maf
mmu-let-7c-2-3p,Ppp1r9a
mmu-let-7c-2-3p,Fat2
mmu-let-7c-2-3p,Gucy1b3
mmu-let-7c-2-3p,Gnaz
mmu-let-7c-2-3p,Wnt9a
mmu-let-7c-2-3p,Polr3b
mmu-let-7c-2-3p,Hspa4
mmu-let-7c-2-3p,2410002F23Rik
mmu-let-7c-2-3p,Itgbl1
mmu-let-7c-2-3p,Gnaz
mmu-let-7c-2-3p,Elavl2
mmu-let-7c-2-3p,Itgbl1
mmu-let-7c-2-3p,Grem2
mmu-let-7c-2-3p,Tnks1bp1
mmu-let-7c-2-3p,Fbxl19
mmu-let-7c-2-3p,Anapc7
mmu-let-7c-2-3p,2410002F23Rik
mmu-let-7c-2-3p,Itgbl1
mmu-let-7c-2-3p,Fbxl19
mmu-let-7c-5p,Prr14l
mmu-let-7c-5p,Scube3
mmu-let-7c-5p,Ryr1
mmu-let-7c-5p,Atp2b2
mmu-let-7c-5p,Macf1
mmu-let-7c-5p,Dnah9
mmu-let-7c-5p,Tnc
mmu-let-7c-5p,Tmtc1
mmu-let-7c-5p,Tnc
mmu-let-7c-5p,Adcy7
mmu-let-7c-5p,Gna13
mmu-let-7c-5p,Fat3
mmu-let-7c-5p,Trim67
mmu-let-7c-5p,Dnah17
mmu-let-7c-5p,Adcy7
mmu-let-7c-5p,Herc2
mmu-let-7c-5p,Sfmbt2
mmu-let-7c-5p,Rai1
mmu-let-7c-5p,Brwd1
mmu-let-7c-5p,Sfmbt2
mmu-let-7c-5p,Adcy7
mmu-let-7c-5p,Flg2
mmu-let-7c-5p,Celsr2
mmu-let-7c-5p,Herc2
mmu-let-7c-5p,Pak3
mmu-let-7c-5p,Macf1
mmu-let-7c-5p,Zfp142
mmu-let-7c-5p,4930402H24Rik
mmu-let-7c-5p,Cachd1
mmu-let-7c-5p,Dysf
mmu-let-7d-3p,2610002M06Rik
mmu-let-7d-3p,Kmt2d
mmu-let-7d-3p,Cyfip2
mmu-let-7d-3p,Stab2
mmu-let-7d-3p,Maf
mmu-let-7d-3p,Crebrf
mmu-let-7d-3p,Cyfip2
mmu-let-7d-3p,Numa1
mmu-let-7d-3p,Heatr1
mmu-let-7d-3p,Satb2
mmu-let-7d-3p,Numa1
mmu-let-7d-3p,Gnaz
mmu-let-7d-3p,Ptges
mmu-let-7d-3p,2310067B10Rik
mmu-let-7d-3p,Med28
mmu-let-7d-3p,Kdm4c
mmu-let-7d-3p,Ap1g1
mmu-let-7d-3p,Rnf6
mmu-let-7d-3p,Hspa4
mmu-let-7d-3p,Trim44
mmu-let-7d-3p,Kctd3
mmu-let-7d-3p,2310067B10Rik
mmu-let-7d-3p,Jrk
mmu-let-7d-3p,Snrk
mmu-let-7d-3p,Tial1
mmu-let-7d-3p,Tjp2
mmu-let-7d-3p,Dusp16
mmu-let-7d-3p,Gnai3
mmu-let-7d-3p,Epn3
mmu-let-7d-3p,Ap1g1
mmu-let-7d-5p,Maf
mmu-let-7d-5p,Celsr2
mmu-let-7d-5p,Bcr
mmu-let-7d-5p,Foxp2
mmu-let-7d-5p,Cflar
mmu-let-7d-5p,Cbfa2t2
mmu-let-7d-5p,Eif5b
mmu-let-7d-5p,Gm15800
mmu-let-7d-5p,Madd
mmu-let-7d-5p,Mgam
mmu-let-7d-5p,Scube3
mmu-let-7d-5p,Hydin
mmu-let-7d-5p,Snx19
mmu-let-7d-5p,Macf1
mmu-let-7d-5p,Arhgef17
mmu-let-7d-5p,Pde6h
mmu-let-7d-5p,Rimbp3
mmu-let-7d-5p,Mgam
mmu-let-7d-5p,Macf1
mmu-let-7d-5p,Sgms2
mmu-let-7d-5p,Macf1
mmu-let-7d-5p,Kat6b
mmu-let-7d-5p,Cacna1h
mmu-let-7d-5p,Sptbn2
mmu-let-7d-5p,Zbtb20
mmu-let-7d-5p,Herc2
mmu-let-7d-5p,Ptprj
mmu-let-7d-5p,Setd2
mmu-let-7d-5p,Zfp462
mmu-let-7d-5p,Tsc22d2
mmu-let-7e-3p,Ttn
mmu-let-7e-3p,Numa1
mmu-let-7e-3p,Fnip2
mmu-let-7e-3p,Nrxn2
mmu-let-7e-3p,Lrig2
mmu-let-7e-3p,Numa1
mmu-let-7e-3p,Nrxn2
mmu-let-7e-3p,Bri3bp
mmu-let-7e-3p,Ttn
mmu-let-7e-3p,Ttc14
mmu-let-7e-3p,Lrrc58
mmu-let-7e-3p,Abcc5
mmu-let-7e-3p,Smchd1
mmu-let-7e-3p,Ttn
mmu-let-7e-3p,Dock11
mmu-let-7e-3p,Dock11
mmu-let-7e-3p,Nrxn2
mmu-let-7e-3p,Ttn
mmu-let-7e-3p,Tenm4
mmu-let-7e-3p,Tenm4
mmu-let-7e-3p,Lamc3
mmu-let-7e-3p,Tenm4
mmu-let-7e-3p,2610002M06Rik
mmu-let-7e-3p,Traf6
mmu-let-7e-3p,Heatr1
mmu-let-7e-3p,Maf
mmu-let-7e-3p,Abcc5
mmu-let-7e-3p,Zbed4
mmu-let-7e-3p,Mypn
mmu-let-7e-3p,Pced1a
mmu-let-7e-5p,Macf1
mmu-let-7e-5p,Slc4a3
mmu-let-7e-5p,Madd
mmu-let-7e-5p,Ino80d
mmu-let-7e-5p,Madd
mmu-let-7e-5p,Nrxn2
mmu-let-7e-5p,Shisa7
mmu-let-7e-5p,Gtf3c1
mmu-let-7e-5p,Nrxn2
mmu-let-7e-5p,Gcn1l1
mmu-let-7e-5p,Preb
mmu-let-7e-5p,Madd
mmu-let-7e-5p,Macf1
mmu-let-7e-5p,Dpy19l3
mmu-let-7e-5p,Pik3c2a
mmu-let-7e-5p,Maf
mmu-let-7e-5p,Cachd1
mmu-let-7e-5p,Rbfox2
mmu-let-7e-5p,Ttn
mmu-let-7e-5p,Mical2
mmu-let-7e-5p,Setd2
mmu-let-7e-5p,Zc3h7b
mmu-let-7e-5p,Secisbp2l
mmu-let-7e-5p,Mga
mmu-let-7e-5p,Arl5b
mmu-let-7e-5p,Dnah9
mmu-let-7e-5p,Trp53bp1
mmu-let-7e-5p,Mga
mmu-let-7e-5p,Madd
mmu-let-7e-5p,Lrp2
mmu-let-7f-1-3p,Myh1
mmu-let-7f-1-3p,Stab2
mmu-let-7f-1-3p,Mphosph9
mmu-let-7f-1-3p,Numa1
mmu-let-7f-1-3p,Myh1
mmu-let-7f-1-3p,Robo2
mmu-let-7f-1-3p,Numa1
mmu-let-7f-1-3p,Fat2
mmu-let-7f-1-3p,Myh1
mmu-let-7f-1-3p,Ttc14
mmu-let-7f-1-3p,Fat2
mmu-let-7f-1-3p,Fbxl19
mmu-let-7f-1-3p,Itgbl1
mmu-let-7f-1-3p,Epn3
mmu-let-7f-1-3p,Wnt9a
mmu-let-7f-1-3p,Hspa4
mmu-let-7f-1-3p,Rnf6
mmu-let-7f-1-3p,Cdcp1
mmu-let-7f-1-3p,Itgbl1
mmu-let-7f-1-3p,2410002F23Rik
mmu-let-7f-1-3p,Pard6g
mmu-let-7f-1-3p,Anapc7
mmu-let-7f-1-3p,Rnf6
mmu-let-7f-1-3p,Rnf6
mmu-let-7f-1-3p,Bcat2
mmu-let-7f-1-3p,Pea15a
mmu-let-7f-1-3p,Fbxl19
mmu-let-7f-1-3p,Anapc7
mmu-let-7f-1-3p,Copb2
mmu-let-7f-1-3p,2410002F23Rik
mmu-let-7f-2-3p,Nrxn2
mmu-let-7f-2-3p,Lrig2
mmu-let-7f-2-3p,Nrxn2
mmu-let-7f-2-3p,Ppp1r9a
mmu-let-7f-2-3p,Mphosph9
mmu-let-7f-2-3p,Nrxn2
mmu-let-7f-2-3p,2610002M06Rik
mmu-let-7f-2-3p,Myh1
mmu-let-7f-2-3p,Ttc14
mmu-let-7f-2-3p,Myh1
mmu-let-7f-2-3p,Myh1
mmu-let-7f-2-3p,Cpd
mmu-let-7f-2-3p,Sorl1
mmu-let-7f-2-3p,Maf
mmu-let-7f-2-3p,Ppp1r9a
mmu-let-7f-2-3p,Pde2a
mmu-let-7f-2-3p,Chrdl1
mmu-let-7f-2-3p,Polr3b
mmu-let-7f-2-3p,Pde2a
mmu-let-7f-2-3p,Pde2a
mmu-let-7f-2-3p,Pde2a
mmu-let-7f-2-3p,Cntn1
mmu-let-7f-2-3p,Tada2b
mmu-let-7f-2-3p,Gucy1b3
mmu-let-7f-2-3p,Hspa4
mmu-let-7f-2-3p,Fbxl19
mmu-let-7f-2-3p,Chrdl1
mmu-let-7f-2-3p,Lasp1
mmu-let-7f-2-3p,Aldh2
mmu-let-7f-2-3p,Gnaz
mmu-let-7f-5p,Rimbp3
mmu-let-7f-5p,Ryr1
mmu-let-7f-5p,Rapgef6
mmu-let-7f-5p,Cachd1
mmu-let-7f-5p,Mga
mmu-let-7f-5p,Ryr3
mmu-let-7f-5p,Trp53bp1
mmu-let-7f-5p,Zyg11b
mmu-let-7f-5p,Pak3
mmu-let-7f-5p,Helz
mmu-let-7f-5p,Ryr1
mmu-let-7f-5p,Disp2
mmu-let-7f-5p,Ppp2r3a
mmu-let-7f-5p,Stat3
mmu-let-7f-5p,Pou2f1
mmu-let-7f-5p,Zfp462
mmu-let-7f-5p,Dtx4
mmu-let-7f-5p,Pde6h
mmu-let-7f-5p,Pak3
mmu-let-7f-5p,Col4a3
mmu-let-7f-5p,Pak3
mmu-let-7f-5p,Atp2b2
mmu-let-7f-5p,Madd
mmu-let-7f-5p,Helz
mmu-let-7f-5p,Entpd7
mmu-let-7f-5p,Mga
mmu-let-7f-5p,Cacna1h
mmu-let-7f-5p,Ryr3
mmu-let-7f-5p,Cacna1h
mmu-let-7f-5p,Mga
mmu-let-7g-3p,Trak2
mmu-let-7g-3p,1810041L15Rik
mmu-let-7g-3p,Tnc
mmu-let-7g-3p,Ints1
mmu-let-7g-3p,Irs4
mmu-let-7g-3p,Gpr107
mmu-let-7g-3p,Dnmt3a
mmu-let-7g-3p,Zc3h4
mmu-let-7g-3p,Lmtk2
mmu-let-7g-3p,Tcf20
mmu-let-7g-3p,Megf8
mmu-let-7g-3p,Zbtb40
mmu-let-7g-3p,Maf
