miRNA,Target Gene
mmu-miR-1839-3p,Skint4
mmu-miR-1839-3p,Adra2b
mmu-miR-1839-3p,Adra2b
mmu-miR-1839-3p,Sema7a
mmu-miR-1839-5p,Tm9sf3
mmu-miR-1839-5p,Tbl1xr1
mmu-miR-1839-5p,Ppp1r9a
mmu-miR-1839-5p,Plxna2
mmu-miR-1839-5p,Dip2c
mmu-miR-1839-5p,Thsd7a
mmu-miR-1839-5p,Ino80d
mmu-miR-1839-5p,Ppp1r9a
mmu-miR-1839-5p,Dnah17
mmu-miR-1839-5p,Nhsl1
mmu-miR-1839-5p,Clcn5
mmu-miR-1839-5p,Pkd1
mmu-miR-1839-5p,5031439G07Rik
mmu-miR-1839-5p,Ino80d
mmu-miR-1839-5p,Snx19
mmu-miR-1839-5p,Caprin1
mmu-miR-1839-5p,Smg6
mmu-miR-1839-5p,Ino80d
mmu-miR-1839-5p,Zyg11b
mmu-miR-1839-5p,Med13l
mmu-miR-1839-5p,Tm9sf3
mmu-miR-1839-5p,Slc4a3
mmu-miR-1839-5p,Ltbp2
mmu-miR-1839-5p,Scube3
mmu-miR-1839-5p,Dnah17
mmu-miR-1839-5p,Maf
mmu-miR-1839-5p,Dip2c
mmu-miR-1839-5p,Dclk2
mmu-miR-1839-5p,Fam210b
mmu-miR-1839-5p,Ralgds
mmu-miR-183-3p,Aim1
mmu-miR-183-3p,Srrm4
mmu-miR-183-3p,Dysf
mmu-miR-183-3p,Sgms2
mmu-miR-183-3p,Gpr158
mmu-miR-183-3p,Dysf
mmu-miR-183-3p,Dysf
mmu-miR-183-3p,Pi4ka
mmu-miR-183-3p,Cpd
mmu-miR-183-3p,Hspg2
mmu-miR-183-3p,Pi4ka
mmu-miR-183-3p,Ccnt1
mmu-miR-183-3p,Dysf
mmu-miR-183-3p,Dysf
mmu-miR-183-3p,Tbc1d32
mmu-miR-183-3p,Slc4a3
mmu-miR-183-3p,Zfp831
mmu-miR-183-3p,Hspg2
mmu-miR-183-3p,Dysf
mmu-miR-183-3p,Nr4a3
mmu-miR-183-3p,Scml2
mmu-miR-183-3p,Synpo
mmu-miR-183-3p,Synpo
mmu-miR-183-3p,Arl5a
mmu-miR-183-3p,Slc4a3
mmu-miR-183-3p,Synpo
mmu-miR-183-3p,Nr4a3
mmu-miR-183-3p,Rnf17
mmu-miR-183-3p,Slfn4
mmu-miR-183-3p,Grm6
mmu-miR-183-5p,Pogk
mmu-miR-183-5p,Anapc1
mmu-miR-183-5p,Chst2
mmu-miR-183-5p,Dcaf10
mmu-miR-183-5p,Kif14
mmu-miR-183-5p,Pogk
mmu-miR-183-5p,Zbtb7a
mmu-miR-183-5p,Syt7
mmu-miR-183-5p,Pogk
mmu-miR-183-5p,Crebrf
mmu-miR-183-5p,Wdr33
mmu-miR-183-5p,Adamtsl1
mmu-miR-183-5p,Smg6
mmu-miR-183-5p,Kif14
mmu-miR-183-5p,Cdk5rap2
mmu-miR-183-5p,Tet1
mmu-miR-183-5p,
mmu-miR-183-5p,Traf6
mmu-miR-183-5p,Syt7
mmu-miR-183-5p,Ptgfrn
mmu-miR-183-5p,Adamtsl1
mmu-miR-183-5p,Qser1
mmu-miR-183-5p,Pogk
mmu-miR-183-5p,Srsf1
mmu-miR-183-5p,Mxd4
mmu-miR-183-5p,Trim24
mmu-miR-183-5p,Acsl1
mmu-miR-183-5p,Adamts4
mmu-miR-183-5p,Rhou
mmu-miR-183-5p,Slc37a1
mmu-miR-1843-3p,Prrc2a
mmu-miR-1843-3p,Stab2
mmu-miR-1843-3p,Prrc2a
mmu-miR-1843-3p,Dock11
mmu-miR-1843-3p,Dnah7b
mmu-miR-1843-3p,Crocc
mmu-miR-1843-3p,Acaca
mmu-miR-1843-3p,Mast4
mmu-miR-1843-3p,Stx17
mmu-miR-1843-3p,Rassf4
mmu-miR-1843-3p,Evpl
mmu-miR-1843-3p,Sema5a
mmu-miR-1843-3p,Mgat4a
mmu-miR-1843-3p,Crocc
mmu-miR-1843-3p,Prrc2a
mmu-miR-1843-3p,Abcc9
mmu-miR-1843-3p,Fnbp1
mmu-miR-1843-3p,Zfp831
mmu-miR-1843-3p,Trp53bp1
mmu-miR-1843-3p,Abcc9
mmu-miR-1843-3p,Cflar
mmu-miR-1843-3p,Mgat4a
mmu-miR-1843-3p,Trp53bp1
mmu-miR-1843-3p,Crocc
mmu-miR-1843-3p,Supt6
mmu-miR-1843-3p,Sh3pxd2b
mmu-miR-1843-3p,Sel1l
mmu-miR-1843-3p,Acaca
mmu-miR-1843-3p,Acaca
mmu-miR-1843-3p,Crocc
mmu-miR-1843-5p,Tsc1
mmu-miR-1843-5p,Fbn2
mmu-miR-1843-5p,Lrig2
mmu-miR-1843-5p,Syne2
mmu-miR-1843-5p,Zfc3h1
mmu-miR-1843-5p,Brip1
mmu-miR-1843-5p,Tsc1
mmu-miR-1843-5p,Tenm4
mmu-miR-1843-5p,Numa1
mmu-miR-1843-5p,Mef2c
mmu-miR-1843-5p,Tnc
mmu-miR-1843-5p,Ttn
mmu-miR-1843-5p,Clasp2
mmu-miR-1843-5p,Rims1
mmu-miR-1843-5p,Nfatc2
mmu-miR-1843-5p,Rims1
mmu-miR-1843-5p,Numa1
mmu-miR-1843-5p,Nfatc2
mmu-miR-1843-5p,Sort1
mmu-miR-1843-5p,Vwa5b1
mmu-miR-1843-5p,Itpr2
mmu-miR-1843-5p,Mast4
mmu-miR-1843-5p,Ttn
mmu-miR-1843-5p,Tnc
mmu-miR-1843-5p,Nfatc2
mmu-miR-1843-5p,Ttn
mmu-miR-1843-5p,Ttn
mmu-miR-1843-5p,Rp1
mmu-miR-1843-5p,Ttn
mmu-miR-1843-5p,Ano5
mmu-miR-1843b-3p,Mob3b
mmu-miR-1843b-3p,Robo1
mmu-miR-1843b-3p,Lrrk2
mmu-miR-1843b-3p,Myh1
mmu-miR-1843b-3p,Dip2c
mmu-miR-1843b-3p,Myh1
mmu-miR-1843b-3p,Mast4
mmu-miR-1843b-3p,Soga1
mmu-miR-1843b-3p,Dip2c
mmu-miR-1843b-3p,Satb2
mmu-miR-1843b-3p,Myh1
mmu-miR-1843b-3p,Dip2c
mmu-miR-1843b-3p,Zfp65
mmu-miR-1843b-3p,Epn3
mmu-miR-1843b-3p,Kcnn2
mmu-miR-1843b-3p,Stk38
mmu-miR-1843b-3p,Snrk
mmu-miR-1843b-3p,Slc5a7
mmu-miR-1843b-3p,Csnk1d
mmu-miR-1843b-3p,Lrrc47
mmu-miR-1843b-3p,Lrrc47
mmu-miR-1843b-3p,Dip2c
mmu-miR-1843b-3p,Fam212b
mmu-miR-1843b-3p,Fbxl19
mmu-miR-1843b-3p,Dip2c
mmu-miR-1843b-3p,Gldn
mmu-miR-1843b-3p,Zdhhc8
mmu-miR-1843b-3p,Pcdh20
mmu-miR-1843b-3p,Mybpc3
mmu-miR-1843b-3p,Csnk1d
mmu-miR-1843b-5p,Tbc1d16
mmu-miR-1843b-5p,Disp2
mmu-miR-1843b-5p,Tab3
mmu-miR-1843b-5p,Clasp2
mmu-miR-1843b-5p,Arrb1
mmu-miR-1843b-5p,Myh7
mmu-miR-1843b-5p,Numa1
mmu-miR-1843b-5p,Tnc
mmu-miR-1843b-5p,Lpar2
mmu-miR-1843b-5p,Tenm4
mmu-miR-1843b-5p,Nfatc2
mmu-miR-1843b-5p,Slc1a2
mmu-miR-1843b-5p,Obscn
mmu-miR-1843b-5p,Dnajc5
mmu-miR-1843b-5p,Dab2ip
mmu-miR-1843b-5p,Tenm4
mmu-miR-1843b-5p,Ephb2
mmu-miR-1843b-5p,Cad
mmu-miR-1843b-5p,Pde6h
mmu-miR-1843b-5p,Cd109
mmu-miR-1843b-5p,Huwe1
mmu-miR-1843b-5p,Cad
mmu-miR-1843b-5p,Zbtb7a
mmu-miR-1843b-5p,Ttn
mmu-miR-1843b-5p,Cds2
mmu-miR-1843b-5p,Arhgef4
mmu-miR-1843b-5p,Ttn
mmu-miR-1843b-5p,Ncoa2
mmu-miR-1843b-5p,Kmt2d
mmu-miR-1843b-5p,Myo3b
mmu-miR-184-3p,Fn1
mmu-miR-184-3p,Trim67
mmu-miR-184-3p,Herc2
mmu-miR-184-3p,Tln2
mmu-miR-184-3p,Myof
mmu-miR-184-3p,Nwd1
mmu-miR-184-3p,Kcna1
mmu-miR-184-3p,Ddr2
mmu-miR-184-3p,Socs4
mmu-miR-184-3p,Mga
mmu-miR-184-3p,Ncoa2
mmu-miR-184-3p,Fn1
mmu-miR-184-3p,Larp1
mmu-miR-184-3p,Kif5b
mmu-miR-184-3p,Gon4l
mmu-miR-184-3p,Col27a1
mmu-miR-184-3p,4930402H24Rik
mmu-miR-184-3p,Fn1
mmu-miR-184-3p,Ncoa2
mmu-miR-184-3p,Epb4.1l4b
mmu-miR-184-3p,Helz2
mmu-miR-184-3p,Tmod2
mmu-miR-184-3p,Helz2
mmu-miR-184-3p,Kdm5a
mmu-miR-184-3p,Herc2
mmu-miR-184-3p,Abca9
mmu-miR-184-3p,Rptor
mmu-miR-184-3p,Rnf169
mmu-miR-184-3p,Helz
mmu-miR-184-3p,Szt2
mmu-miR-184-5p,Ptprt
mmu-miR-184-5p,Prrc2a
mmu-miR-184-5p,Zc3h4
mmu-miR-184-5p,Etl4
mmu-miR-184-5p,Baz2b
mmu-miR-184-5p,Prrc2a
mmu-miR-184-5p,Arhgap35
mmu-miR-184-5p,Ncor1
mmu-miR-184-5p,Arhgap35
mmu-miR-184-5p,Kmt2d
mmu-miR-184-5p,Ptprt
mmu-miR-184-5p,Pafah1b1
mmu-miR-184-5p,Col5a2
mmu-miR-184-5p,Arfgef1
mmu-miR-184-5p,Prrc2a
mmu-miR-184-5p,Ano5
mmu-miR-184-5p,Ano5
mmu-miR-184-5p,Baz2b
mmu-miR-184-5p,Zc3h4
mmu-miR-184-5p,Scn5a
mmu-miR-184-5p,Zc3h7b
mmu-miR-184-5p,Ncor1
mmu-miR-184-5p,Col5a3
mmu-miR-184-5p,Etl4
mmu-miR-184-5p,Scn5a
mmu-miR-184-5p,2610002M06Rik
mmu-miR-184-5p,Ddx19b
mmu-miR-184-5p,Pafah1b1
mmu-miR-184-5p,Ankib1
mmu-miR-184-5p,Zbtb40
mmu-miR-185-3p,Gpr98
mmu-miR-185-3p,Ahdc1
mmu-miR-185-3p,Birc6
mmu-miR-185-3p,Zdbf2
mmu-miR-185-3p,Tfap2b
mmu-miR-185-3p,Kdm5a
mmu-miR-185-3p,Rock2
mmu-miR-185-3p,1700025G04Rik
mmu-miR-185-3p,Kif21a
mmu-miR-185-3p,Macf1
mmu-miR-185-3p,Qk
mmu-miR-185-3p,Itpr3
mmu-miR-185-3p,Madd
mmu-miR-185-3p,Chd4
mmu-miR-185-3p,Syne2
mmu-miR-185-3p,Ikbkg
mmu-miR-185-3p,Flt4
mmu-miR-185-3p,Huwe1
mmu-miR-185-3p,Col14a1
mmu-miR-185-3p,Dicer1
mmu-miR-185-3p,Map4k4
mmu-miR-185-3p,Cad
mmu-miR-185-3p,Myo15
mmu-miR-185-3p,Ppfia4
mmu-miR-185-3p,Cad
mmu-miR-185-3p,Epg5
mmu-miR-185-3p,Syne2
mmu-miR-185-3p,Cep97
mmu-miR-185-3p,Naip6
mmu-miR-185-3p,Insr
mmu-miR-185-5p,Reps2
mmu-miR-185-5p,Arhgap35
mmu-miR-185-5p,Map3k7
mmu-miR-185-5p,Tmem245
mmu-miR-185-5p,Epb4.1l4b
mmu-miR-185-5p,Alms1
mmu-miR-185-5p,Zzef1
mmu-miR-185-5p,Pik3c2b
mmu-miR-185-5p,Uhmk1
mmu-miR-185-5p,Itga4
mmu-miR-185-5p,Thsd7a
mmu-miR-185-5p,Slc38a1
mmu-miR-185-5p,Macf1
mmu-miR-185-5p,Myh7
mmu-miR-185-5p,Nfatc2
mmu-miR-185-5p,Pcdh19
mmu-miR-185-5p,Soga1
mmu-miR-185-5p,Obscn
mmu-miR-185-5p,Reps2
mmu-miR-185-5p,Kcnq5
mmu-miR-185-5p,Atxn7
mmu-miR-185-5p,Itga4
mmu-miR-185-5p,Macf1
mmu-miR-185-5p,Nrk
mmu-miR-185-5p,Iqsec3
mmu-miR-185-5p,Rfx3
mmu-miR-185-5p,Ret
mmu-miR-185-5p,Tmod2
mmu-miR-185-5p,Nrk
mmu-miR-185-5p,Atp8b1
mmu-miR-186-3p,Clmn
mmu-miR-186-3p,Nrxn2
mmu-miR-186-3p,Madd
mmu-miR-186-3p,Itpr3
mmu-miR-186-3p,Madd
mmu-miR-186-3p,Madd
mmu-miR-186-3p,Usp13
mmu-miR-186-3p,Nrxn2
mmu-miR-186-3p,Mdga1
mmu-miR-186-3p,Clmn
mmu-miR-186-3p,Madd
mmu-miR-186-3p,Madd
mmu-miR-186-3p,Madd
mmu-miR-186-3p,Nrxn2
mmu-miR-186-3p,Nt5dc3
mmu-miR-186-3p,Erc2
mmu-miR-186-3p,Madd
mmu-miR-186-3p,Lgi2
mmu-miR-186-3p,Dlc1
mmu-miR-186-3p,Pomk
mmu-miR-186-3p,Dlc1
mmu-miR-186-3p,Slc16a12
mmu-miR-186-3p,Tmem87b
mmu-miR-186-3p,Chrna1
mmu-miR-186-3p,Madd
mmu-miR-186-3p,Rhoh
mmu-miR-186-3p,Nrxn2
mmu-miR-186-3p,Clic6
mmu-miR-186-3p,Mbnl3
mmu-miR-186-3p,Madd
mmu-miR-186-5p,Pde10a
mmu-miR-186-5p,Lig3
mmu-miR-186-5p,Pde10a
mmu-miR-186-5p,Lig3
mmu-miR-186-5p,Zdbf2
mmu-miR-186-5p,Zdbf2
mmu-miR-186-5p,Anks6
mmu-miR-186-5p,Pde10a
mmu-miR-186-5p,Lig3
mmu-miR-186-5p,Lig3
mmu-miR-186-5p,Tdrd1
mmu-miR-186-5p,Tdrd1
mmu-miR-186-5p,Tdrd1
mmu-miR-186-5p,Rnf6
mmu-miR-186-5p,Lig3
mmu-miR-186-5p,Tdrd1
mmu-miR-186-5p,Pde10a
mmu-miR-186-5p,Ocstamp
mmu-miR-186-5p,Osbpl9
mmu-miR-186-5p,Lnpep
mmu-miR-186-5p,Hunk
mmu-miR-186-5p,St7l
mmu-miR-186-5p,Plekhb1
mmu-miR-186-5p,Lig3
mmu-miR-186-5p,Hunk
mmu-miR-186-5p,Havcr2
mmu-miR-186-5p,Ablim1
mmu-miR-186-5p,Osbpl9
mmu-miR-186-5p,Osbpl9
mmu-miR-186-5p,Haus2
mmu-miR-187-3p,Mga
mmu-miR-187-3p,Ptprj
mmu-miR-187-3p,Kmt2d
mmu-miR-187-3p,Gcn1l1
mmu-miR-187-3p,Lrp1
mmu-miR-187-3p,Phlpp1
mmu-miR-187-3p,Zfp142
mmu-miR-187-3p,Tbc1d16
mmu-miR-187-3p,Cnot1
mmu-miR-187-3p,Agpat5
mmu-miR-187-3p,Zfp831
mmu-miR-187-3p,Ticrr
mmu-miR-187-3p,Ahctf1
mmu-miR-187-3p,Impad1
mmu-miR-187-3p,Impad1
mmu-miR-187-3p,Bod1l
mmu-miR-187-3p,Myh3
mmu-miR-187-3p,Myo5a
mmu-miR-187-3p,Ptprj
mmu-miR-187-3p,Kat6a
mmu-miR-187-3p,Hivep2
mmu-miR-187-3p,Zfyve16
mmu-miR-187-3p,Ttn
mmu-miR-187-3p,Ttn
mmu-miR-187-3p,Igfbp5
mmu-miR-187-3p,Itpr3
mmu-miR-187-3p,Col27a1
mmu-miR-187-3p,Uvssa
mmu-miR-187-3p,Itpr3
mmu-miR-187-3p,Eml6
mmu-miR-187-5p,N4bp1
mmu-miR-187-5p,Ryr2
mmu-miR-187-5p,Ryr3
mmu-miR-187-5p,Col11a1
mmu-miR-187-5p,Tmem106b
mmu-miR-187-5p,Dip2c
mmu-miR-187-5p,AU022252
mmu-miR-187-5p,Dmxl1
mmu-miR-187-5p,Nt5dc3
mmu-miR-187-5p,Hdlbp
mmu-miR-187-5p,Ahdc1
mmu-miR-187-5p,Otogl
mmu-miR-187-5p,Fbn2
mmu-miR-187-5p,Crocc
mmu-miR-187-5p,Whsc1
mmu-miR-187-5p,Crocc
mmu-miR-187-5p,Dock9
mmu-miR-187-5p,Ahdc1
mmu-miR-187-5p,Ahdc1
mmu-miR-187-5p,Map3k9
mmu-miR-187-5p,Fnip2
mmu-miR-187-5p,Dip2c
mmu-miR-187-5p,Crocc
mmu-miR-187-5p,Rbfox2
mmu-miR-187-5p,N4bp1
mmu-miR-187-5p,Nhsl2
mmu-miR-187-5p,Prkce
mmu-miR-187-5p,Ryr3
mmu-miR-187-5p,4930402H24Rik
mmu-miR-187-5p,Kcnq5
mmu-miR-188-3p,Bod1l
mmu-miR-188-3p,Tbc1d9
mmu-miR-188-3p,Ttn
mmu-miR-188-3p,Sema3e
mmu-miR-188-3p,Scn2a1
mmu-miR-188-3p,Ttn
mmu-miR-188-3p,Nfatc2
mmu-miR-188-3p,Ttn
mmu-miR-188-3p,Smchd1
mmu-miR-188-3p,Nfatc2
mmu-miR-188-3p,Usp9x
mmu-miR-188-3p,Cemip
mmu-miR-188-3p,Otud7b
mmu-miR-188-3p,Rp1l1
mmu-miR-188-3p,Tsc1
mmu-miR-188-3p,Nfatc2
mmu-miR-188-3p,Hivep2
mmu-miR-188-3p,Arhgef17
mmu-miR-188-3p,Ankib1
mmu-miR-188-3p,Srcin1
mmu-miR-188-3p,Otud7b
mmu-miR-188-3p,Col5a3
mmu-miR-188-3p,Cds2
mmu-miR-188-3p,Smg6
mmu-miR-188-3p,Bdp1
mmu-miR-188-3p,Scn2a1
mmu-miR-188-3p,Ankrd52
mmu-miR-188-3p,Cds2
mmu-miR-188-3p,Ttn
mmu-miR-188-3p,Bcorl1
mmu-miR-188-5p,Abca2
mmu-miR-188-5p,Ncoa2
mmu-miR-188-5p,Tnc
mmu-miR-188-5p,Abca2
mmu-miR-188-5p,Myh10
mmu-miR-188-5p,Mgat4a
mmu-miR-188-5p,Tnc
mmu-miR-188-5p,Pde6h
mmu-miR-188-5p,Itih5
mmu-miR-188-5p,Ncoa2
mmu-miR-188-5p,Col27a1
mmu-miR-188-5p,Gbf1
mmu-miR-188-5p,Baz2b
mmu-miR-188-5p,Lamc1
mmu-miR-188-5p,Mgat4a
mmu-miR-188-5p,Cmah
mmu-miR-188-5p,Gucy2f
mmu-miR-188-5p,Tgfbr1
mmu-miR-188-5p,Ebf1
mmu-miR-188-5p,Tnc
mmu-miR-188-5p,Vangl2
mmu-miR-188-5p,Rc3h2
mmu-miR-188-5p,Prkce
mmu-miR-188-5p,Arhgap32
mmu-miR-188-5p,Abca2
mmu-miR-188-5p,Pik3r1
mmu-miR-188-5p,Fnip2
mmu-miR-188-5p,Myh10
mmu-miR-188-5p,Rc3h2
mmu-miR-188-5p,Sptbn2
mmu-miR-1892,Dpy19l4
mmu-miR-1892,Ank1
mmu-miR-1892,Ino80d
mmu-miR-1892,Arid1b
mmu-miR-1892,Ino80d
mmu-miR-1892,Cacna1a
mmu-miR-1892,Tmem56
mmu-miR-1892,Cacna1a
mmu-miR-1892,Dpy19l4
mmu-miR-1892,Fat4
mmu-miR-1892,Col11a1
mmu-miR-1892,Syt7
mmu-miR-1892,Trank1
mmu-miR-1892,Tbc1d9
mmu-miR-1892,Stag1
mmu-miR-1892,Rbfox2
mmu-miR-1892,Scn10a
mmu-miR-1892,Dicer1
mmu-miR-1892,Kcna1
mmu-miR-1892,
mmu-miR-1892,Arid1a
mmu-miR-1892,Mtor
mmu-miR-1892,Flt4
mmu-miR-1892,Adcy1
mmu-miR-1892,Socs4
mmu-miR-1892,Cacna1a
mmu-miR-1892,Camta1
mmu-miR-1892,Prkdc
mmu-miR-1892,Rgp1
mmu-miR-1892,Nid1
mmu-miR-1893,1810041L15Rik
mmu-miR-1893,Sox5
mmu-miR-1893,Dlg5
mmu-miR-1893,Tm9sf3
mmu-miR-1893,Cacna1g
mmu-miR-1893,Sfmbt2
mmu-miR-1893,Bend3
mmu-miR-1893,Wdr52
mmu-miR-1893,Cacna1a
mmu-miR-1893,Tenm4
mmu-miR-1893,Arid1a
mmu-miR-1893,Smarca4
mmu-miR-1893,Megf9
mmu-miR-1893,Nhsl2
mmu-miR-1893,Pde6h
mmu-miR-1893,Nrxn1
mmu-miR-1893,Akap6
mmu-miR-1893,Sorl1
mmu-miR-1893,Lphn3
mmu-miR-1893,Tmem2
mmu-miR-1893,Apc
mmu-miR-1893,Grm1
mmu-miR-1893,Zyg11b
mmu-miR-1893,Cachd1
mmu-miR-1893,Zbtb7a
mmu-miR-1893,Plxna1
mmu-miR-1893,Madd
mmu-miR-1893,Madd
mmu-miR-1893,Cad
mmu-miR-1893,Sfmbt2
mmu-miR-1894-3p,Wdr7
mmu-miR-1894-3p,Slc22a23
mmu-miR-1894-3p,Celsr2
mmu-miR-1894-3p,Bzrap1
mmu-miR-1894-3p,Arl5b
mmu-miR-1894-3p,Myo9b
mmu-miR-1894-3p,Nup155
mmu-miR-1894-3p,Wnk2
mmu-miR-1894-3p,Pcsk5
mmu-miR-1894-3p,Bzrap1
mmu-miR-1894-3p,Foxp2
mmu-miR-1894-3p,Dnajc13
mmu-miR-1894-3p,Vapb
mmu-miR-1894-3p,Baz1a
mmu-miR-1894-3p,Plxdc2
mmu-miR-1894-3p,Kat6b
mmu-miR-1894-3p,Itpr3
mmu-miR-1894-3p,Cachd1
mmu-miR-1894-3p,Supt6
mmu-miR-1894-3p,Tmtc1
mmu-miR-1894-3p,Celsr3
mmu-miR-1894-3p,Usp34
mmu-miR-1894-3p,Dnajc13
mmu-miR-1894-3p,Tnc
mmu-miR-1894-3p,Cubn
mmu-miR-1894-3p,Itpr2
mmu-miR-1894-3p,Cad
mmu-miR-1894-3p,Rnf213
mmu-miR-1894-3p,Hspg2
mmu-miR-1894-3p,Smarca4
mmu-miR-1894-5p,Clmn
mmu-miR-1894-5p,Numa1
mmu-miR-1894-5p,Esr1
mmu-miR-1894-5p,Impad1
mmu-miR-1894-5p,Ncor2
mmu-miR-1894-5p,Ncor2
mmu-miR-1894-5p,Kmt2c
mmu-miR-1894-5p,Otud7b
mmu-miR-1894-5p,Arid1b
mmu-miR-1894-5p,Fnip2
mmu-miR-1894-5p,Crocc
mmu-miR-1894-5p,Ncor2
mmu-miR-1894-5p,Crocc
mmu-miR-1894-5p,Soga1
mmu-miR-1894-5p,Crocc
mmu-miR-1894-5p,Ccdc88c
mmu-miR-1894-5p,Crocc
mmu-miR-1894-5p,Ncor2
mmu-miR-1894-5p,Dip2c
mmu-miR-1894-5p,Syt7
mmu-miR-1894-5p,Kmt2c
mmu-miR-1894-5p,Srcin1
mmu-miR-1894-5p,Chd2
mmu-miR-1894-5p,Numa1
mmu-miR-1894-5p,Tbc1d9
mmu-miR-1894-5p,Mob3b
mmu-miR-1894-5p,Kmt2c
mmu-miR-1894-5p,Zbtb40
mmu-miR-1894-5p,Ncor2
mmu-miR-1894-5p,Pou2f1
mmu-miR-1895,Ryr2
mmu-miR-1895,Ago4
mmu-miR-1895,Herc2
mmu-miR-1895,Madd
mmu-miR-1895,Ahdc1
mmu-miR-1895,Ncoa2
mmu-miR-1895,Erc2
mmu-miR-1895,Nlgn3
mmu-miR-1895,Hecw1
mmu-miR-1895,Mdga1
mmu-miR-1895,Reps2
mmu-miR-1895,Ahdc1
mmu-miR-1895,Lama5
mmu-miR-1895,Ago4
mmu-miR-1895,Zfp113
mmu-miR-1895,Sh3kbp1
mmu-miR-1895,Madd
mmu-miR-1895,Reps2
mmu-miR-1895,Megf8
mmu-miR-1895,Madd
mmu-miR-1895,Numa1
mmu-miR-1895,Ahdc1
mmu-miR-1895,Madd
mmu-miR-1895,Numa1
mmu-miR-1895,Frem1
mmu-miR-1895,Lrp1b
mmu-miR-1895,Usp13
mmu-miR-1895,Mob3b
mmu-miR-1895,Frem1
mmu-miR-1895,Scn2a1
mmu-miR-1896,Tmem106b
mmu-miR-1896,Arid1a
mmu-miR-1896,Tsc2
mmu-miR-1896,Ttn
mmu-miR-1896,Brip1
mmu-miR-1896,Amotl1
mmu-miR-1896,Kif26a
mmu-miR-1896,Tnc
mmu-miR-1896,Tmem56
mmu-miR-1896,Ccnt1
mmu-miR-1896,Scn2a1
mmu-miR-1896,Lrrc7
mmu-miR-1896,Pcif1
mmu-miR-1896,Myh1
mmu-miR-1896,Per3
mmu-miR-1896,Fat2
mmu-miR-1896,Col4a6
mmu-miR-1896,Itpr2
mmu-miR-1896,Ttn
mmu-miR-1896,Heatr1
mmu-miR-1896,Arnt2
mmu-miR-1896,Col11a1
mmu-miR-1896,Crocc
mmu-miR-1896,Dcaf17
mmu-miR-1896,Ttn
mmu-miR-1896,Gm608
mmu-miR-1896,Col11a1
mmu-miR-1896,Adcy1
mmu-miR-1896,Chrm1
mmu-miR-1896,Impad1
mmu-miR-1897-3p,Macf1
mmu-miR-1897-3p,Crocc
mmu-miR-1897-3p,Kmt2c
mmu-miR-1897-3p,Sash1
mmu-miR-1897-3p,Macf1
mmu-miR-1897-3p,Ticrr
mmu-miR-1897-3p,Mob3b
mmu-miR-1897-3p,Kmt2c
mmu-miR-1897-3p,A830010M20Rik
mmu-miR-1897-3p,Myh9
mmu-miR-1897-3p,Macf1
mmu-miR-1897-3p,Zbtb7a
mmu-miR-1897-3p,Igsf3
mmu-miR-1897-3p,Ptpro
mmu-miR-1897-3p,Kmt2c
mmu-miR-1897-3p,Celf2
mmu-miR-1897-3p,Crocc
mmu-miR-1897-3p,Macf1
mmu-miR-1897-3p,Tmem167
mmu-miR-1897-3p,Prkdc
mmu-miR-1897-3p,Kmt2d
mmu-miR-1897-3p,Satb2
mmu-miR-1897-3p,Ptpro
mmu-miR-1897-3p,Crocc
mmu-miR-1897-3p,Macf1
mmu-miR-1897-3p,Crocc
mmu-miR-1897-3p,Msl1
mmu-miR-1897-3p,Ube2h
mmu-miR-1897-3p,Mtmr6
mmu-miR-1897-3p,Iffo2
mmu-miR-1897-5p,Plxnd1
mmu-miR-1897-5p,Obscn
mmu-miR-1897-5p,Tsc2
mmu-miR-1897-5p,Clmn
mmu-miR-1897-5p,Lyst
mmu-miR-1897-5p,Tsc2
mmu-miR-1897-5p,Madd
mmu-miR-1897-5p,Ino80d
mmu-miR-1897-5p,Elf4
mmu-miR-1897-5p,Ptpro
mmu-miR-1897-5p,Tsc2
mmu-miR-1897-5p,Madd
mmu-miR-1897-5p,Bcor
mmu-miR-1897-5p,Clmn
mmu-miR-1897-5p,Dnajc5
mmu-miR-1897-5p,Tsc2
mmu-miR-1897-5p,Reps2
mmu-miR-1897-5p,Lyst
mmu-miR-1897-5p,Bcor
mmu-miR-1897-5p,Dnah17
mmu-miR-1897-5p,Tbl1xr1
mmu-miR-1897-5p,Elf4
mmu-miR-1897-5p,Camta1
mmu-miR-1897-5p,Whsc1
mmu-miR-1897-5p,Madd
mmu-miR-1897-5p,Bcor
mmu-miR-1897-5p,Camta1
mmu-miR-1897-5p,Camta1
mmu-miR-1897-5p,Tmem245
mmu-miR-1897-5p,Nyap2
mmu-miR-1898,Ppp1r16b
mmu-miR-1898,5031439G07Rik
mmu-miR-1898,Zbtb7a
mmu-miR-1898,Cad
mmu-miR-1898,Espl1
mmu-miR-1898,Macf1
mmu-miR-1898,Nt5dc3
mmu-miR-1898,Lrba
mmu-miR-1898,Macf1
mmu-miR-1898,Myo16
mmu-miR-1898,Macf1
mmu-miR-1898,Dnajc13
mmu-miR-1898,Acsl6
mmu-miR-1898,Lrba
mmu-miR-1898,Ptpn14
mmu-miR-1898,Fam53a
mmu-miR-1898,Thada
mmu-miR-1898,Cad
mmu-miR-1898,Kif26a
mmu-miR-1898,Nhsl2
mmu-miR-1898,Ppp1r16b
mmu-miR-1898,Rbfox2
mmu-miR-1898,Akap6
