28,HF_3mesi:setA_1,mmu-miR-101a,26.746,27.801,26.54,27.029,29.954,28.968,29.461,0.0,1.584,0.671,1.368,1.20766666666667,1.305,1.118,1.2115,0.0,Waiting
29,"LF_3mesi,setA_1",mmu-miR-101a,27.72,26.791,26.756,27.089,29.84,28.943,29.3915,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Waiting
30,HF_3mesi:setA_1,mmu-miR-103,29.129,30.686,29.037,29.6173333333333,30.973,30.082,30.5275,0.0,2.806,0.953,0.83,1.52966666666667,1.318,1.067,1.1925,0.0,Waiting
31,"LF_3mesi,setA_1",mmu-miR-103,30.928,30.182,28.533,29.881,30.874,29.989,30.4315,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Waiting
32,HF_3mesi:setA_1,mmu-miR-105,40.0,40.0,30.91,36.97,0.0,31.184,31.184,0.0,0.0,0.0,641.372,641.372,0.0,3.611,3.611,0.679379761219025,Waiting
33,"LF_3mesi,setA_1",mmu-miR-105,40.0,40.0,40.0,40.0,0.0,32.85,32.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Waiting
34,HF_3mesi:setA_1,mmu-miR-106a,25.469,26.359,25.352,25.7266666666667,27.408,27.948,27.678,0.0,0.496,0.692,1.062,0.75,1.029,0.641,0.835,0.384808152914047,Waiting
35,"LF_3mesi,setA_1",mmu-miR-106a,24.769,25.392,25.204,25.1216666666667,26.952,27.12,27.036,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Waiting
36,HF_3mesi:setA_1,mmu-miR-106b,28.777,29.767,28.482,29.0086666666667,31.688,30.961,31.3245,0.0,0.738,0.513,1.17,0.807,0.853,0.517,0.685,0.0,Waiting
37,"LF_3mesi,setA_1",mmu-miR-106b,28.649,28.369,28.473,28.497,30.961,29.823,30.392,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Waiting
38,HF_3mesi:setA_1,mmu-miR-107,30.265,31.961,30.681,30.969,33.003,33.01,33.0065,0.0,2.93,0.121,2.106,1.719,1.354,1.017,1.1855,0.0,Waiting
39,"LF_3mesi,setA_1",mmu-miR-107,32.126,28.483,31.52,30.7096666666667,32.943,32.848,32.8955,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Waiting
40,HF_3mesi:setA_1,mmu-miR-10a,40.0,35.74,33.379,36.373,30.628,30.529,30.5785,37.3851432800293,0.023,0.579,2.343,0.981666666666667,7.148,3.173,5.1605,0.0,Waiting
41,"LF_3mesi,setA_1",mmu-miR-10a,34.854,34.515,34.372,34.5803333333333,32.968,32.009,32.4885,39.2941551208496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Waiting
42,HF_3mesi:setA_1,mmu-miR-10b,35.795,37.142,33.668,35.535,35.974,36.056,36.015,38.6112289428711,0.024,0.041,0.04,0.035,0.303,0.562,0.4325,0.0,Waiting
43,"LF_3mesi,setA_1",mmu-miR-10b,30.718,32.085,28.802,30.535,33.752,35.038,34.395,37.4972534179687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Waiting
44,HF_3mesi:setA_1,mmu-miR-122,21.257,22.317,20.974,21.516,23.97,23.93,23.95,0.0,1.181,0.538,1.066,0.928333333333333,1.226,0.868,1.047,0.0,Waiting
45,"LF_3mesi,setA_1",mmu-miR-122,21.807,20.988,20.831,21.2086666666667,23.766,23.54,23.653,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Waiting
46,HF_3mesi:setA_1,mmu-miR-124,40.0,40.0,29.255,36.4183333333333,32.59,30.09,31.34,0.0,0.653,0.029,22.028,7.57,0.413,1.448,0.9305,0.0,Waiting
47,"LF_3mesi,setA_1",mmu-miR-124,39.695,34.478,33.481,35.8846666666667,30.816,30.438,30.627,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Waiting
48,HF_3mesi:setA_1,mmu-miR-125a-3p,38.79,37.071,36.392,37.4176666666667,32.987,31.972,32.4795,0.0,0.084,10.297,0.05,3.477,10.505,4.15,7.3275,0.0,Waiting
49,"LF_3mesi,setA_1",mmu-miR-125a-3p,35.525,40.0,31.845,35.79,35.882,33.839,34.8605,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Waiting
50,HF_3mesi:setA_1,mmu-miR-125a-5p,27.589,28.044,27.655,27.7626666666667,29.993,29.987,29.99,28.1,0.351,0.198,0.254,0.267666666666667,0.297,0.277,0.287,0.0,Waiting
