,Sample,Detector,Avg 3m Ct1,Avg 3m Ct2,Avg 3m Ct3,Media 3m ct,Avg 6m Ct1,Avg 6m Ct2,Media 6m ct,MEDIA CT 12 MESI,RQ1 3m ,RQ2 3m,RQ3 3m,Media RQ 3m,RQ1 6m,RQ2 6m,Media RQ 6m,RQ 12 MESI,Targets
483,"LF_3mesi,setA_1",mmu-miR-468-001085,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
484,HF_3mesi:setA_1,mmu-miR-469-001086,40.0,40.0,40.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,
485,"LF_3mesi,setA_1",mmu-miR-469-001086,40.0,40.0,40.0,40.0,0.0,30.621,30.621,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
486,HF_3mesi:setA_1,mmu-miR-470-002588,40.0,40.0,40.0,40.0,0.0,30.114,30.114,0.0,0.018,0.0,0.0,0.018,0.0,1.491,1.491,0.0,
487,"LF_3mesi,setA_1",mmu-miR-470-002588,34.507,40.0,40.0,38.169,0.0,30.504,30.504,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,
488,HF_3mesi:setA_1,mmu-miR-484-001821,24.748,25.483,24.807,25.0126666666667,26.957,26.959,26.958,25.9734916687012,0.762,0.898,1.107,0.922333333333333,0.904,0.784,0.844,0.0,"Tmem201,Foxn3,Ubp1,Tmbim1,Plekhg1,Rpl23,Pbxip1,Dcun1d3,PCDH19,Bckdk,Serp1,Cops2,Rragd,Cx3cr1,Mat2a,Ubtf"
489,"LF_3mesi,setA_1",mmu-miR-484-001821,24.666,24.893,24.719,24.7593333333333,26.313,26.422,26.3675,25.7632579803467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Tmem201,Foxn3,Ubp1,Tmbim1,Plekhg1,Rpl23,Pbxip1,Dcun1d3,PCDH19,Bckdk,Serp1,Cops2,Rragd,Cx3cr1,Mat2a,Ubtf"
490,HF_3mesi:setA_1,mmu-miR-486-001278,27.956,28.4,27.455,27.937,29.967,29.963,29.965,0.0,0.671,0.723,1.005,0.799666666666667,1.394,0.939,1.1665,0.0,
491,"LF_3mesi,setA_1",mmu-miR-486-001278,27.689,27.496,27.227,27.4706666666667,29.949,29.686,29.8175,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
492,HF_3mesi:setA_1,mmu-miR-487b-001285,40.0,40.0,40.0,40.0,0.0,37.259,37.259,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.026,0.0,
493,"LF_3mesi,setA_1",mmu-miR-487b-001285,40.0,40.0,40.0,40.0,0.0,31.802,31.802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
494,HF_3mesi:setA_1,mmu-miR-488-001659,40.0,40.0,40.0,40.0,0.0,29.748,29.748,0.0,0.0,0.0,0.0,0.0,0.0,16.964,16.964,0.0,
495,"LF_3mesi,setA_1",mmu-miR-488-001659,40.0,40.0,40.0,40.0,0.0,33.646,33.646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
